Z,X,Y,bank,eightpack,eightpack vertice idx
0.9168131015382054,-1.899328267794257,0.5480475,6,5,2
0.9095942710605577,-1.9027959412528312,-0.5480475,6,6,0
0.9095942710605577,-1.9027959412528312,0.5480475,6,6,1
0.8796466549233689,-1.9168244297474306,-0.5480475,6,6,3
0.8796466549233689,-1.9168244297474306,0.5480475,6,6,2
0.8723616551322643,-1.9201508468475417,-0.5480475,6,7,0
0.8723616551322643,-1.9201508468475417,0.5480475,6,7,1
0.8421464918321325,-1.9335933952848692,-0.5480475,6,7,3
0.8421464918321325,-1.9335933952848692,0.5480475,6,7,2
0.8347980864787271,-1.936777294065038,-0.5480475,6,8,0
0.8347980864787271,-1.936777294065038,0.5480475,6,8,1
0.8043268389113207,-1.9496288026702306,-0.5480475,6,8,3
0.8043268389113207,-1.9496288026702306,0.5480475,6,8,2
0.7969178158012967,-1.9526689752369517,-0.5480475,6,9,0
0.7969178158012967,-1.9526689752369517,0.5480475,6,9,1
0.7662020440144063,-1.964924568461238,-0.5480475,6,9,3
0.7662020440144063,-1.964924568461238,0.5480475,6,9,2
0.758735213950341,-1.9678198614472227,-0.5480475,6,10,0
0.758735213950341,-1.9678198614472227,0.5480475,6,10,1
0.7277865707582792,-1.979474889817585,-0.5480475,6,10,3
0.7277865707582792,-1.979474889817585,0.5480475,6,10,2
0.7202647664733,-1.9822242048193235,-0.5480475,6,11,0
0.7202647664733,-1.9822242048193235,0.5480475,6,11,1
0.6890949930361082,-1.9932742467023954,-0.5480475,6,11,3
0.6890949930361082,-1.9932742467023954,0.5480475,6,11,2
